Date,Home Team,Away Team,xG_home,xG_away,DEEP_home,DEEP_away,PPDA_home,PPDA_away,xPTS_home,xPTS_away
Oct 04 2014,Bayer Leverkusen,Paderborn,1.60,1.13,11,1,2.76,7.35,1.74,0.97
Oct 04 2014,Hoffenheim,Schalke 04,3.23,0.85,9,7,9.42,11.28,2.73,0.19
Oct 04 2014,Eintracht Frankfurt,FC Cologne,2.50,1.12,5,4,13.57,12.84,2.30,0.53
Oct 05 2014,Wolfsburg,Augsburg,0.68,0.67,4,5,9.83,9.54,1.32,1.29
Oct 05 2014,Borussia M.Gladbach,Mainz 05,1.66,1.10,13,3,6.44,18.50,1.83,0.86
Oct 18 2014,Bayern Munich,Werder Bremen,2.50,0.00,16,0,3.63,28.80,2.94,0.03
Oct 18 2014,Mainz 05,Augsburg,1.06,1.04,6,8,9.40,11.00,1.35,1.32
Oct 18 2014,Hannover 96,Borussia M.Gladbach,0.56,1.62,7,4,11.48,10.36,0.52,2.25
Oct 18 2014,Freiburg,Wolfsburg,1.01,1.46,11,2,6.53,8.43,1.00,1.72
Oct 18 2014,VfB Stuttgart,Bayer Leverkusen,1.30,1.87,3,4,5.45,8.36,0.95,1.79
Oct 18 2014,FC Cologne,Borussia Dortmund,0.90,0.83,1,11,13.32,6.72,1.45,1.21
Oct 18 2014,Schalke 04,Hertha Berlin,0.80,0.85,5,4,10.92,7.69,1.32,1.32
Oct 19 2014,Hamburger SV,Hoffenheim,1.82,1.56,6,3,5.18,7.97,1.56,1.16
Oct 19 2014,Paderborn,Eintracht Frankfurt,2.38,0.56,7,6,9.79,8.68,2.65,0.23
Oct 24 2014,Werder Bremen,FC Cologne,0.51,0.52,4,2,4.42,11.52,1.26,1.28
Oct 25 2014,Eintracht Frankfurt,VfB Stuttgart,2.98,3.13,9,5,6.96,7.10,1.28,1.50
Oct 25 2014,Augsburg,Freiburg,2.24,0.91,6,2,9.55,13.83,2.36,0.46
Oct 25 2014,Hoffenheim,Paderborn,1.50,0.67,6,4,5.10,12.37,2.12,0.61
Oct 25 2014,Hertha Berlin,Hamburger SV,2.51,0.78,6,5,8.41,3.00,2.63,0.24
Oct 25 2014,Borussia Dortmund,Hannover 96,1.62,0.70,10,2,8.61,8.04,2.10,0.65
Oct 25 2014,Bayer Leverkusen,Schalke 04,0.84,0.15,11,2,8.12,9.86,1.98,0.61
Oct 26 2014,Wolfsburg,Mainz 05,4.06,1.62,8,4,6.74,6.02,2.66,0.25
Oct 26 2014,Borussia M.Gladbach,Bayern Munich,0.65,1.20,7,5,26.86,6.30,0.86,1.83
Oct 31 2014,Schalke 04,Augsburg,1.71,0.69,4,2,13.05,4.76,2.26,0.52
Nov 01 2014,Mainz 05,Werder Bremen,1.19,1.66,9,2,4.24,9.07,0.95,1.78
Nov 01 2014,Hannover 96,Eintracht Frankfurt,1.12,0.35,5,5,6.50,12.27,2.05,0.63
Nov 01 2014,VfB Stuttgart,Wolfsburg,0.92,2.70,4,8,7.47,19.94,0.31,2.56
Nov 01 2014,Hamburger SV,Bayer Leverkusen,1.34,0.43,2,2,3.75,3.40,2.29,0.47
Nov 01 2014,Bayern Munich,Borussia Dortmund,2.64,0.94,11,3,6.19,13.40,2.50,0.36
Nov 02 2014,Borussia M.Gladbach,Hoffenheim,2.46,0.65,10,5,10.06,8.23,2.61,0.26
Nov 02 2014,FC Cologne,Freiburg,0.38,1.46,8,7,8.14,28.93,0.37,2.42
Nov 02 2014,Paderborn,Hertha Berlin,1.97,0.93,3,0,8.95,4.32,2.18,0.61
Nov 07 2014,Hertha Berlin,Hannover 96,0.36,1.09,3,4,7.55,4.17,0.62,2.06
Nov 08 2014,Augsburg,Paderborn,1.66,0.97,2,5,9.08,18.80,1.94,0.81
Nov 08 2014,Hoffenheim,FC Cologne,1.20,1.31,11,2,5.73,24.07,1.19,1.49
Nov 08 2014,Bayer Leverkusen,Mainz 05,2.07,0.29,11,2,8.86,5.17,2.63,0.23
Nov 08 2014,Eintracht Frankfurt,Bayern Munich,0.22,3.03,1,13,8.33,6.12,0.02,2.96
Nov 08 2014,Freiburg,Schalke 04,1.62,0.53,4,5,17.79,10.71,2.27,0.51
Nov 08 2014,Werder Bremen,VfB Stuttgart,0.65,0.77,6,3,13.63,5.50,1.14,1.47
Nov 09 2014,Wolfsburg,Hamburger SV,1.95,0.49,4,3,11.68,8.71,2.48,0.35
Nov 09 2014,Borussia Dortmund,Borussia M.Gladbach,2.28,0.03,10,0,9.94,14.95,2.87,0.07
Nov 22 2014,Bayern Munich,Hoffenheim,2.09,1.38,12,6,5.88,9.00,1.86,0.90
Nov 22 2014,Schalke 04,Wolfsburg,1.12,1.23,4,8,15.86,6.84,1.24,1.46
Nov 22 2014,Borussia M.Gladbach,Eintracht Frankfurt,0.60,1.74,11,10,11.76,9.38,0.52,2.26
Nov 22 2014,Mainz 05,Freiburg,1.79,0.69,3,1,6.17,24.20,2.32,0.46
Nov 22 2014,Hannover 96,Bayer Leverkusen,0.78,2.37,4,9,4.69,4.14,0.37,2.47
Nov 22 2014,Paderborn,Borussia Dortmund,0.64,1.92,1,12,15.50,7.37,0.42,2.39
Nov 22 2014,FC Cologne,Hertha Berlin,1.13,0.47,3,2,7.84,11.53,2.01,0.69
Nov 23 2014,Hamburger SV,Werder Bremen,2.61,1.15,6,2,4.00,10.36,2.43,0.41
Nov 23 2014,VfB Stuttgart,Augsburg,0.38,2.06,1,5,10.00,5.43,0.22,2.65
Nov 28 2014,Freiburg,VfB Stuttgart,1.50,3.36,11,3,10.62,12.46,0.36,2.51
Nov 29 2014,Augsburg,Hamburger SV,2.79,1.12,0,9,5.88,4.26,2.58,0.29
Nov 29 2014,Schalke 04,Mainz 05,1.56,2.05,6,11,12.20,7.56,0.98,1.77
Nov 29 2014,Bayer Leverkusen,FC Cologne,2.38,0.95,7,1,4.89,24.92,2.41,0.40
Nov 29 2014,Hertha Berlin,Bayern Munich,0.26,1.94,1,19,20.60,4.27,0.23,2.62
Nov 29 2014,Werder Bremen,Paderborn,4.48,0.84,7,3,5.33,9.25,2.92,0.05
Nov 29 2014,Hoffenheim,Hannover 96,2.00,1.81,7,7,6.70,3.38,1.50,1.24
Nov 30 2014,Wolfsburg,Borussia M.Gladbach,1.69,0.61,4,3,12.39,6.45,2.25,0.53
Nov 30 2014,Eintracht Frankfurt,Borussia Dortmund,2.22,0.77,4,9,8.31,7.43,2.42,0.41
Dec 05 2014,Borussia Dortmund,Hoffenheim,1.58,0.20,9,0,5.88,8.21,2.53,0.29
Dec 06 2014,Borussia M.Gladbach,Hertha Berlin,1.83,1.42,6,4,10.78,13.33,1.71,0.98
Dec 06 2014,Hannover 96,Wolfsburg,1.68,1.86,9,3,7.27,8.78,1.25,1.50
Dec 06 2014,VfB Stuttgart,Schalke 04,0.68,1.70,7,5,9.69,13.71,0.57,2.20
Dec 06 2014,Paderborn,Freiburg,1.38,0.88,10,4,5.04,10.60,1.72,0.95
Dec 06 2014,FC Cologne,Augsburg,1.19,1.35,4,8,19.19,7.48,1.18,1.50
Dec 06 2014,Bayern Munich,Bayer Leverkusen,0.95,0.39,3,1,7.18,11.72,1.90,0.73
Dec 07 2014,Hamburger SV,Mainz 05,2.03,1.02,8,5,5.78,3.23,2.13,0.63
Dec 07 2014,Eintracht Frankfurt,Werder Bremen,3.83,1.44,8,7,4.73,7.75,2.70,0.21
