date,home_team,away_team,fthg,ftag,ftr,hs,as,hst,ast,hf,af,hc,ac,hy,ay,hr,ar,xg_home,xg_away,deep_home,deep_away,ppda_home,ppda_away,xpts_home,xpts_away
2014-09-23,Eintracht Frankfurt,Mainz 05,2,2,D,16,5,8,5,16,24,9,3,3,3,0,0,1.45,1.1,11,4,9.31,7.84,1.6,1.1
2014-09-23,Hoffenheim,Freiburg,3,3,D,18,6,8,4,20,14,4,3,3,3,0,1,1.82,2.45,5,3,4.23,11.26,0.86,1.89
2014-09-24,M'gladbach,Hamburger SV,1,0,H,20,14,9,1,19,17,9,9,1,1,0,0,2.39,0.56,4,2,7.53,10.35,2.7,0.2
2014-09-24,Leverkusen,Augsburg,1,0,H,17,11,3,4,13,13,6,7,3,2,0,0,1.65,0.57,6,4,6.13,5.57,2.3,0.48
2014-09-24,Dortmund,VfB Stuttgart,2,2,D,25,10,9,5,11,10,5,4,2,2,0,0,2.14,1.48,14,5,8.86,22.24,1.82,0.94
2014-09-24,Hannover 96,1.FC Köln,1,0,H,9,9,4,3,9,11,2,6,0,2,0,0,0.41,0.7,3,5,19.63,11.14,0.94,1.64
2014-09-24,Hertha BSC,Wolfsburg,1,0,H,3,13,3,3,15,10,6,5,3,2,0,0,0.43,0.86,2,4,12.48,2.97,0.9,1.71
2014-09-26,Mainz 05,Hoffenheim,0,0,D,10,13,3,3,13,25,5,4,1,2,0,0,0.61,1.09,5,2,9.14,11.45,0.91,1.77
2014-09-27,1.FC Köln,Bayern Munich,0,2,A,8,21,3,8,6,6,2,11,0,0,0,0,0.82,3.47,0,27,44.09,5.44,0.12,2.81
2014-09-27,Freiburg,Leverkusen,0,0,D,8,16,3,8,21,24,5,3,2,4,1,1,0.72,1.18,2,5,6.64,7.9,0.94,1.74
2014-09-27,Paderborn,M'gladbach,1,2,A,24,11,8,4,9,18,9,0,1,1,0,0,1.57,1.44,8,5,11.0,10.95,1.44,1.29
2014-09-27,Schalke 04,Dortmund,2,1,H,11,17,6,5,15,15,3,9,1,1,0,0,1.08,0.66,2,7,8.93,4.78,1.75,0.92
2014-09-27,VfB Stuttgart,Hannover 96,1,0,H,12,12,6,4,16,16,8,1,3,2,0,0,0.83,0.85,5,5,8.24,15.86,1.26,1.37
2014-09-27,Wolfsburg,Werder Bremen,2,1,H,18,8,8,3,11,12,8,5,0,0,0,0,1.24,0.33,5,5,4.56,10.87,2.16,0.56
2014-09-28,Augsburg,Hertha BSC,1,0,H,8,10,3,3,18,20,3,9,2,4,0,0,1.26,0.28,3,1,3.92,7.17,2.36,0.4
2014-09-28,Hamburger SV,Eintracht Frankfurt,1,2,A,14,7,6,4,21,18,8,3,2,2,0,0,1.09,0.23,6,2,3.93,8.2,2.16,0.53
2014-10-03,Hertha BSC,VfB Stuttgart,3,2,H,12,9,9,2,18,15,3,7,2,2,0,0,2.37,1.43,5,8,13.23,5.93,2.08,0.7
2014-10-04,Werder Bremen,Freiburg,1,1,D,18,7,7,3,13,14,10,5,0,1,0,0,1.22,1.04,12,7,5.64,9.18,1.44,1.24
2014-10-04,Hoffenheim,Schalke 04,2,1,H,20,13,8,3,18,16,5,3,3,4,0,1,3.23,0.85,9,7,9.42,11.28,2.73,0.19
2014-10-04,Leverkusen,Paderborn,2,2,D,21,8,10,5,25,18,9,2,3,3,0,1,1.6,1.13,11,1,2.76,7.35,1.74,0.97
2014-10-04,Dortmund,Hamburger SV,0,1,A,17,10,3,5,10,19,8,4,2,4,0,0,1.2,1.43,7,4,4.14,7.33,1.17,1.55
2014-10-04,Bayern Munich,Hannover 96,4,0,H,23,6,9,3,4,11,11,1,0,0,0,0,2.7,0.44,14,5,11.0,52.38,2.73,0.17
2014-10-04,Eintracht Frankfurt,1.FC Köln,3,2,H,19,12,8,7,10,15,6,2,1,1,0,0,2.5,1.12,5,4,13.57,12.84,2.3,0.53
2014-10-05,M'gladbach,Mainz 05,1,1,D,18,8,10,2,12,12,2,3,0,3,0,0,1.66,1.1,13,3,6.44,18.5,1.83,0.86
2014-10-05,Wolfsburg,Augsburg,1,0,H,15,7,4,1,15,13,4,1,0,2,0,0,0.68,0.67,4,5,9.83,9.54,1.32,1.29
2014-10-18,VfB Stuttgart,Leverkusen,3,3,D,13,17,6,6,14,19,6,7,3,2,0,0,1.3,1.87,3,4,5.45,8.36,0.95,1.79
2014-10-18,Schalke 04,Hertha BSC,2,0,H,7,15,3,4,21,21,0,5,1,1,0,0,0.8,0.85,5,4,10.92,7.69,1.32,1.32
2014-10-18,Mainz 05,Augsburg,2,1,H,8,15,6,6,15,14,4,6,3,2,0,0,1.06,1.04,6,8,9.4,11.0,1.35,1.32
2014-10-18,Freiburg,Wolfsburg,1,2,A,14,15,7,8,11,18,6,2,1,1,0,0,1.01,1.46,11,2,6.53,8.43,1.0,1.72
2014-10-18,1.FC Köln,Dortmund,2,1,H,5,16,2,3,11,14,3,6,1,3,0,0,0.9,0.83,1,11,13.32,6.72,1.45,1.21
2014-10-18,Bayern Munich,Werder Bremen,6,0,H,19,0,6,0,10,12,10,0,0,1,0,0,2.5,0.0,16,0,3.63,28.8,2.94,0.03
2014-10-18,Hannover 96,M'gladbach,0,3,A,11,10,4,4,15,16,7,2,1,1,0,0,0.56,1.62,7,4,11.48,10.36,0.52,2.25
2014-10-19,Hamburger SV,Hoffenheim,1,1,D,17,9,6,4,16,24,5,2,1,3,0,0,1.82,1.56,6,3,5.18,7.97,1.56,1.16
2014-10-19,Paderborn,Eintracht Frankfurt,3,1,H,14,11,5,3,10,13,3,4,0,1,0,0,2.38,0.56,7,6,9.79,8.68,2.65,0.23
2014-10-24,Werder Bremen,1.FC Köln,0,1,A,11,10,4,4,19,12,8,1,3,0,0,0,0.51,0.52,4,2,4.42,11.52,1.26,1.28
2014-10-25,Leverkusen,Schalke 04,1,0,H,24,4,7,1,8,17,8,3,1,4,1,0,0.84,0.15,11,2,8.12,9.86,1.98,0.61
2014-10-25,Hertha BSC,Hamburger SV,3,0,H,15,10,6,3,15,21,4,1,0,2,0,0,2.51,0.78,6,5,8.41,3.0,2.63,0.24
2014-10-25,Hoffenheim,Paderborn,1,0,H,19,11,5,1,14,15,6,4,2,3,0,0,1.5,0.67,6,4,5.1,12.37,2.12,0.61
2014-10-25,Eintracht Frankfurt,VfB Stuttgart,4,5,A,21,20,13,10,17,18,3,9,5,3,1,0,2.98,3.13,9,5,6.96,7.1,1.28,1.5
2014-10-25,Dortmund,Hannover 96,0,1,A,17,7,4,3,13,18,14,1,3,4,0,1,1.62,0.7,10,2,8.61,8.04,2.1,0.65
2014-10-25,Augsburg,Freiburg,2,0,H,15,10,4,3,17,13,2,5,3,1,0,0,2.24,0.91,6,2,9.55,13.83,2.36,0.46
2014-10-26,M'gladbach,Bayern Munich,0,0,D,11,20,5,5,8,11,4,10,1,3,0,0,0.65,1.2,7,5,26.86,6.3,0.86,1.83
2014-10-26,Wolfsburg,Mainz 05,3,0,H,24,16,12,4,16,15,10,3,1,3,0,0,4.06,1.62,8,4,6.74,6.02,2.66,0.25
2014-10-31,Schalke 04,Augsburg,1,0,H,13,20,7,5,10,16,4,2,2,2,0,0,1.71,0.69,4,2,13.05,4.76,2.26,0.52
2014-11-01,Bayern Munich,Dortmund,2,1,H,25,10,14,4,13,5,9,2,1,2,0,0,2.64,0.94,11,3,6.19,13.4,2.5,0.36
2014-11-01,Hamburger SV,Leverkusen,1,0,H,5,11,1,2,29,25,1,3,6,3,0,0,1.34,0.43,2,2,3.75,3.4,2.29,0.47
2014-11-01,Hannover 96,Eintracht Frankfurt,1,0,H,14,6,3,4,13,20,10,4,2,2,0,0,1.12,0.35,5,5,6.5,12.27,2.05,0.63
2014-11-01,Mainz 05,Werder Bremen,1,2,A,21,9,3,7,17,15,8,1,4,3,0,0,1.19,1.66,9,2,4.24,9.07,0.95,1.78
2014-11-01,VfB Stuttgart,Wolfsburg,0,4,A,13,15,4,6,13,11,4,6,1,0,0,0,0.92,2.7,4,8,7.47,19.94,0.31,2.56
2014-11-02,1.FC Köln,Freiburg,0,1,A,10,8,3,3,5,12,5,2,1,3,0,0,0.38,1.46,8,7,8.14,28.93,0.37,2.42
2014-11-02,M'gladbach,Hoffenheim,3,1,H,13,15,7,3,15,12,6,3,1,1,0,0,2.46,0.65,10,5,10.06,8.23,2.61,0.26
2014-11-02,Paderborn,Hertha BSC,3,1,H,18,10,6,4,14,27,6,1,0,2,0,0,1.97,0.93,3,0,8.95,4.32,2.18,0.61
2014-11-07,Hertha BSC,Hannover 96,0,2,A,7,12,1,5,24,22,4,7,3,2,0,0,0.36,1.09,3,4,7.55,4.17,0.62,2.06
2014-11-08,Leverkusen,Mainz 05,0,0,D,24,6,6,1,17,20,13,0,1,3,0,0,2.07,0.29,11,2,8.86,5.17,2.63,0.23
2014-11-08,Hoffenheim,1.FC Köln,3,4,A,22,11,6,7,15,12,7,4,1,2,0,0,1.2,1.31,11,2,5.73,24.07,1.19,1.49
2014-11-08,Werder Bremen,VfB Stuttgart,2,0,H,12,8,4,1,13,13,4,4,1,1,0,0,0.65,0.77,6,3,13.63,5.5,1.14,1.47
2014-11-08,Eintracht Frankfurt,Bayern Munich,0,4,A,6,19,2,9,21,15,4,8,2,1,0,0,0.22,3.03,1,13,8.33,6.12,0.02,2.96
2014-11-08,Freiburg,Schalke 04,2,0,H,19,11,9,4,13,13,3,1,1,3,0,0,1.62,0.53,4,5,17.79,10.71,2.27,0.51
2014-11-08,Augsburg,Paderborn,3,0,H,11,16,4,3,16,13,3,6,2,3,0,0,1.66,0.97,2,5,9.08,18.8,1.94,0.81
2014-11-09,Wolfsburg,Hamburger SV,2,0,H,13,10,5,2,12,14,2,1,2,3,0,0,1.95,0.49,4,3,11.68,8.71,2.48,0.35
2014-11-09,Dortmund,M'gladbach,1,0,H,22,1,6,0,7,11,7,0,3,2,0,0,2.28,0.03,10,0,9.94,14.95,2.87,0.07
2014-11-22,Bayern Munich,Hoffenheim,4,0,H,17,11,9,5,16,17,9,5,2,2,0,1,2.09,1.38,12,6,5.88,9.0,1.86,0.9
2014-11-22,Paderborn,Dortmund,2,2,D,8,13,4,5,15,11,1,6,3,1,0,0,0.64,1.92,1,12,15.5,7.37,0.42,2.39
2014-11-22,M'gladbach,Eintracht Frankfurt,1,3,A,9,25,3,13,10,16,8,11,1,3,1,0,0.6,1.74,11,10,11.76,9.38,0.52,2.26
2014-11-22,Schalke 04,Wolfsburg,3,2,H,9,17,6,2,10,16,2,7,1,1,0,0,1.12,1.23,4,8,15.86,6.84,1.24,1.46
2014-11-22,Hannover 96,Leverkusen,1,3,A,10,20,5,4,16,16,2,3,3,1,0,0,0.78,2.37,4,9,4.69,4.14,0.37,2.47
2014-11-22,1.FC Köln,Hertha BSC,1,2,A,12,10,2,6,11,14,3,5,0,3,0,0,1.13,0.47,3,2,7.84,11.53,2.01,0.69
2014-11-22,Mainz 05,Freiburg,2,2,D,11,10,2,3,15,13,9,3,0,1,0,0,1.79,0.69,3,1,6.17,24.2,2.32,0.46
2014-11-23,Hamburger SV,Werder Bremen,2,0,H,14,12,5,7,24,20,6,5,4,3,0,1,2.61,1.15,6,2,4.0,10.36,2.43,0.41
2014-11-23,VfB Stuttgart,Augsburg,0,1,A,9,17,1,6,14,23,6,3,2,3,1,0,0.38,2.06,1,5,10.0,5.43,0.22,2.65
2014-11-28,Freiburg,VfB Stuttgart,1,4,A,16,18,6,9,12,13,9,7,2,1,1,0,1.5,3.36,11,3,10.62,12.46,0.36,2.51
2014-11-29,Werder Bremen,Paderborn,4,0,H,24,15,13,4,18,18,9,6,2,1,0,0,4.48,0.84,7,3,5.33,9.25,2.92,0.05
2014-11-29,Augsburg,Hamburger SV,3,1,H,13,9,8,3,13,23,4,4,1,4,0,0,2.79,1.12,0,9,5.88,4.26,2.58,0.29
2014-11-29,Hertha BSC,Bayern Munich,0,1,A,4,15,1,5,17,8,2,3,1,0,0,0,0.26,1.94,1,19,20.6,4.27,0.23,2.62
2014-11-29,Hoffenheim,Hannover 96,4,3,H,16,13,7,5,14,28,5,3,1,4,0,0,2.0,1.81,7,7,6.7,3.38,1.5,1.24
2014-11-29,Leverkusen,1.FC Köln,5,1,H,25,5,10,1,15,9,7,3,1,2,0,0,2.38,0.95,7,1,4.89,24.92,2.41,0.4
2014-11-29,Schalke 04,Mainz 05,4,1,H,14,22,9,10,16,12,2,5,2,1,0,0,1.56,2.05,6,11,12.2,7.56,0.98,1.77
2014-11-30,Eintracht Frankfurt,Dortmund,2,0,H,11,17,3,6,15,22,1,8,2,2,0,0,2.22,0.77,4,9,8.31,7.43,2.42,0.41
2014-11-30,Wolfsburg,M'gladbach,1,0,H,23,10,12,2,13,12,9,5,0,2,0,0,1.69,0.61,4,3,12.39,6.45,2.25,0.53
2014-12-05,Dortmund,Hoffenheim,1,0,H,19,6,6,1,20,12,8,3,1,4,0,0,1.58,0.2,9,0,5.88,8.21,2.53,0.29
2014-12-06,Bayern Munich,Leverkusen,1,0,H,9,3,3,1,11,26,8,3,0,3,0,0,0.95,0.39,3,1,7.18,11.72,1.9,0.73
2014-12-06,1.FC Köln,Augsburg,1,2,A,12,14,4,4,10,13,5,9,0,1,0,0,1.19,1.35,4,8,19.19,7.48,1.18,1.5
